id,total,m20vref,m20v,massref,mass
485,1939,M20V00085,FA-1,MASS00332,BA-5/BA-7
486,1875,M20V01707,FA-2,MASS01607,BA-1/BA-4ABB
487,1840,M20V00712,FA-1,MASS00939,BA-5
488,1822,M20V01059,FA-2,MASS01176,BA-4St/BA-1
489,1781,M20V01060,FA-2,MASS01177,BA-4St/BA-3
490,1734,M20V00855,FA-2,MASS01039,BA-4St/P/BA-1
491,1681,M20V01728,FA-3,MASS01625,BA-3/BA-4Cloos
492,1672,M20V01350,FA-2,MASS01374,BA-1/BA-4CLOOS
493,1672,M20V01620,FA-1,MASS00477,BA-7
494,1670,M20V01352,FA-2,MASS01336,BA-1/BA-4ABB
495,1663,M20V00254,FA-2,MASS00522,P/BA-2/BA-4ABB
496,1658,M20V01572,FA-1,MASS01513,BA-7
497,1637,M20V01127,FA-2,MASS01217,P/BA-3/BA-4Panas
498,1576,M20V01709,FA-2,MASS01609,P/BA-3/BA-4Z
499,1550,M20V01086,FA-2,MASS01191,BA-4St/BA-3
500,1537,M20V00439,FA-1,MASS00709,BA-5
501,1425,M20V01291,FA-2,MASS00257,BA-2Z
502,1293,M20V01326,FA-2,MASS01355,P/BA-2
503,1248,M20V01123,FA-1,MASS01215,BA-5/BA-8
504,1145,M20V02321,FA-1,MASS02024,BA-7/BA-8
505,1126,M20V01565,FA-1,MASS01509,BA-7
506,998,M20V00996,FA-1,MASS00906,BA-5
507,1310,M20V01010,FA-2,MASS01124,BA-1/BA-4ABB
508,2077,M20V00878,FA-1,MASS01060,BA-5
509,1985,M20V01503,FA-1,MASS01470,BA-7/BA-8Es
510,30483,M20V00794,FA-2,MASS00992,BA-2
511,1185,M20V00138,FA-1,MASS00380,BA-5/BA-8SSW
512,1450,M20V01281,FA-3,MASS01332,P/BA-3/BA-4Panas
513,2145,M20V01155,FA-2,MASS01237,BA-2
514,1049,M20V01034,FA-1,MASS01161,BA-1/BA-8EsSSW
515,1239,M20V01789,FA-3,MASS01640,P/BA-3/BA-4St
516,3354,M20V00493,FA-1,MASS00765,BA-5
517,1130,M20V00755,FA-2,MASS00968,BA-1/BA-4ABB
518,1256,M20V00885,FA-1,MASS01069,BA-1/BA-5/BA-8SSW
519,1147,M20V00038,FA-2,MASS00265,BA-2
520,1365,M20V01995,FA-2,MASS01802,BA-4ZSt/BA-3
521,1266,M20V00958,FA-1,MASS01116,BA-5
522,1556,M20V01105,FA-2,MASS01176,BA-4St/BA-1
523,1268,M20V00787,FA-1,MASS00983,BA-5
524,1167,M20V01549,FA-1,MASS01080,BA-5
525,1700,M20V00041,FA-2,MASS00268,BA-2Z
526,866,M20V00900,FA-1,MASS01082,BA-1/BA-4CLOOS
527,1808,M20V00065,FA-1,MASS00318,BA-5/BA-7
528,1657,M20V00028,FA-2,MASS00255,BA-2Z
529,1556,M20V01451,FA-1,MASS01449,BA-7
530,1917,M20V00245,FA-1,MASS00514,BA-5/BA-8Es
531,1217,M20V00831,FA-1,MASS01021,BA-5/BA-8Es
532,1495,M20V00970,FA-2,MASS01088,P/BA-1/BA-4CLOOS
533,1471,M20V00779,FA-2,MASS00978,P/BA-1/BA-4St
534,2026,M20V00721,FA-1,MASS00946,BA-5
535,1736,M20V00936,FA-1,MASS00869,BA-5
536,1414,M20V01948,FA-1,MASS01792,BA-7
537,1440,M20V00307,FA-2,MASS00428,P/BA-1/BA-4ABB
538,1022,M20V01700,FA-2,MASS01597,P/BA-2
539,1515,M20V01462,FA-1,MASS01449,BA-7
540,1160,M20V01507,FA-2,MASS01474,P/BA-2/BA-4ABB
541,2049,M20V00559,FA-1,MASS00819,BA-5
542,1754,M20V00465,FA-1,MASS00534,BA-5/BA-8SSPSSW
543,1593,M20V00418,FA-2,MASS00522,P/BA-2/BA-4ABB
544,1579,M20V00297,FA-1,MASS00561,BA-5/BA-8SSP
545,1559,M20V01710,FA-2,MASS01610,P/BA-3/BA-4Z
546,1516,M20V01391,FA-3,MASS01397,BA-3/BA-4Z
547,1513,M20V01512,FA-1,MASS01477,BA-7
548,1472,M20V00317,FA-2,MASS00427,P/BA-1/BA-4ABB
549,1447,M20V01622,FA-1,MASS00769,BA-7
550,1439,M20V00860,FA-1,MASS01044,BA-5/BA-8SSPSSW
551,1381,M20V00954,FA-1,MASS00981,BA-5
552,1381,M20V00818,FA-1,MASS01009,BA-7
553,1373,M20V00691,FA-2,MASS00641,BA-1/BA-4ABB
554,1333,M20V00383,FA-1,MASS00655,BA-5
555,1333,M20V00765,FA-1,MASS00964,BA-5/BA-8SSW
556,1323,M20V01623,FA-1,MASS01546,BA-7
557,1321,M20V00647,FA-1,MASS00886,BA-5/BA-8SSW
558,1319,M20V00947,FA-1,MASS01109,BA-5
559,1316,M20V01713,FA-2,MASS01612,P/BA-1/BA-4
560,1313,M20V01505,FA-1,MASS01471,BA-5s
561,1268,M20V00920,FA-1,MASS01095,BA-5
562,1254,M20V00985,FA-1,MASS01136,BA-5
563,1244,M20V01635,FA-1,MASS01496,BA-7/BA-8SSP
564,1244,M20V01579,FA-1,MASS01518,BA-7/BA-8SSP
565,1240,M20V00298,FA-2,MASS00562,P/BA-1/BA-4ABB
566,1204,M20V00820,FA-2,MASS01011,BA-1/BA-4ABB
567,1173,M20V00046,FA-2,MASS00268,BA-2Z
568,1158,M20V00802,FA-1,MASS00869,BA-5
569,1076,M20V00809,FA-1,MASS01045,BA-5/BA-8Es
570,1065,M20V02293,FA-1,MASS01258,BA-5/BA-8EsSSP
571,1060,M20V01492,FA-1,MASS01461,BA-7
572,1007,M20V01089,FA-2,MASS01192,BA-3/BA-4Panas
573,941,M20V01179,FA-3,MASS01256,BA-3/BA-4Z/BA-3/BA-4Cloos
574,883,M20V01854,FA-1,MASS01720,BA-7
575,1048,M20V01805,FA-2,MASS01680,P/BA-3
576,1102,M20V01795,FA-2,MASS01672,P/BA-1/BA-4
577,1046,M20V01794,FA-2,MASS01671,P/BA-1/BA-4
578,1333,M20V01712,FA-2,MASS01611,BA-1/BA-4St
579,1174,M20V00708,FA-2,MASS00936,BA-1/BA-4ABB
580,1311,M20V01757,FA-2,MASS01607,BA-1/BA-4ABB
581,1185,M20V00013,FA-2,MASS00245,BA-2Z
582,1222,M20V00047,FA-2,MASS00271,BA-2Z
583,1816,M20V01928,FA-2,MASS01778,P/BA-2/BA-4Panas
584,1261,M20V01365,FA-2,MASS01374,BA-1/BA-4CLOOS
585,1459,M20V00191,FA-1,MASS00436,BA-5
586,1379,M20V01829,FA-2,MASS01698,BA-2
587,996,M20V01659,FA-1,MASSC1570,BC-1
588,887,M20V01761,FA-2,MASS01646,BA-2
589,1889,M20V01797,FA-2,MASS01280,P/BA-3/BA-4St
590,1281,M20V01640,FA-2,MASS01557,BA-3/BA-4Cloos
591,798,M20V01821,FA-2,MASS01691,P/BA-1/BA-4
592,766,M20V01015,FA-2,MASS01152,BA-1/BA-4
593,1275,M20V00029,FA-2,MASS00256,BA-2Z
594,4510,M20V00255,FA-1,MASS00523,BA-5
595,968,M20V01220,FA-2,MASS01287,P/BA-2
596,1296,M20V01238,FA-2,MASS01301,BA-3/BA-4St
597,11969,M20V01005,FA-2,MASS00998,BA-1/BA-4StABB
598,1854,M20V01024,FA-1,MASS01160,BA-5
599,1325,M20V00337,FA-2,MASS00603,P/BA-1
600,737,M20V00389,FA-1,MASS00661,BA-1/BA-4ABB
601,802,M20V00539,FA-1,MASS00801,BA-7
602,709,M20V01584,FA-1,MASS01522,BA-7
603,1186,M20V00362,FA-1,MASS00636,BA-5
604,1734,M20V01156,FA-2,MASS01238,BA-2
605,749,M20V00819,FA-1,MASS01006,BA-5/BA-8SSPSSW
606,1453,M20V00485,FA-1,MASS00756,BA-5
607,1259,M20V00414,FA-1,MASS00685,BA-5
608,1473,M20V00589,FA-1,MASS00839,BA-5
609,999,M20V01455,FA-1,MASS00486,BA-5
610,946,M20V01090,FA-2,MASS01193,BA-3/BA-4Panas
611,990,M20V00365,FA-1,MASS00639,BA-5/BA-8SSP
612,1227,M20V01102,FA-2,MASS01204,BA-1/BA-7
613,1030,M20V00404,FA-1,MASS00659,BA-5
614,881,M20V01550,FA-1,MASS01499,BA-7
615,834,M20V00908,FA-1,MASS00856,BA-7
616,776,M20V00817,FA-1,MASS01010,BA-5/BA-8Es
617,872,M20V00879,FA-1,MASS01016,BA-5/BA-8SSW/BA-4Z
618,1631,M20V00385,FA-1,MASS00657,BA-5
619,1623,M20V01293,FA-2,MASS00268,BA-2Z
620,1489,M20V01496,FA-1,MASS01448,BA-5
621,1453,M20V00576,FA-1,MASS00826,BA-5
622,1399,M20V01560,FA-1,MASS00767,BA-7
623,1390,M20V00301,FA-2,MASS00566,P/BA-1/BA-4ABB
624,1262,M20V01750,FA-3,MASS01637,P/BA-3/BA-4Panas
625,1235,M20V01039,FA-1,MASS01165,BA-5
626,1164,M20V00162,FA-2,MASS00409,BA-2
627,1151,M20V01178,FA-2,MASS01181,BA-3/BA-4Panas
628,1140,M20V00114,FA-2,MASS00364,BA-2
629,1114,M20V01013,FA-1,MASS01150,BA-5
630,1096,M20V00548,FA-2,MASS00779,BA-1/BA-4ABB
631,1090,M20V01833,FA-2,MASS01702,BA-3/BA-4St
632,1087,M20V00473,FA-1,MASS00742,BA-5
633,1061,M20V00462,FA-1,MASS00732,BA-5
634,1059,M20V00821,FA-1,MASS01012,BA-5
635,1018,M20V01734,FA-2,MASS01607,BA-1/BA-4ABB
636,996,M20V01545,FA-1,MASS01496,BA-7/BA-8SSP
637,964,M20V00865,FA-2,MASS01047,BA-4St/P/BA-1
638,958,M20V01323,FA-2,MASS01348,BA-3Z
639,943,M20V01181,FA-1,MASS01132,BA-5/BA-8SSP
640,933,M20V01268,FA-1,MASS01324,BA-5
641,924,M20V01196,FA-2,MASS01175,P/BA-3/BA-4Panas
642,923,M20V01315,FA-2,MASS00268,BA-2Z
643,922,M20V00034,FA-2,MASS00261,BA-2
644,917,M20V01543,FA-1,MASS01492,BA-5
645,902,M20V00980,FA-1,MASS01132,BA-5/BA-8SSP
646,858,M20V00899,FA-1,MASS00787,BA-5
647,854,M20V01918,FA-1,MASS01768,BA-7
648,840,M20V01568,FA-1,MASS01511,BA-5/BA-8SSP
649,835,M20V01399,FA-2,MASS01384,BA-1/BA-4ZABB
650,835,M20V00392,FA-2,MASS00601,BA-1/BA-4ZST
651,825,M20V00466,FA-1,MASS00736,BA-5/BA-8Es
652,817,M20V01171,FA-1,MASS01150,BA-5
653,815,M20V01532,FA-1,MASS01487,BA-5
654,776,M20V01725,FA-3,MASS01604,P/BA-3
655,738,M20V01564,FA-1,MASS01067,BA-5
656,697,M20V01864,FA-3,MASS01726,BA-3
657,689,M20V01205,FA-1,MASS01272,BA-5
658,683,M20V02141,FA-2,MASS01374,BA-1/BA-4CLOOS
659,578,M20V01358,FA-1,MASS01378,BA-5
660,1004,M20V00662,FA-2,MASS00900,P/BA-2
661,691,M20V00124,FA-1,MASS00378,BA-5/BA-8SSP
662,888,M20V00934,FA-1,MASS00913,BA-5
663,1714,M20V00694,FA-2,MASS00925,BA-2
664,870,M20V00403,FA-1,MASS00671,BA-5/BA-8Es
665,1264,M20V00640,FA-3,MASS00880,P/BA-2
666,869,M20V00723,FA-1,MASS00947,BA-5/BA-8SSW
667,1067,M20V00314,FA-1,MASS00460,BA-5/BA-8SSP
668,1318,M20V01563,FA-1,MASS01508,BA-7
669,941,M20V01766,FA-2,MASS01653,P/BA-3/BA-4Z
670,913,M20V01191,FA-3,MASS01256,BA-3/BA-4Z/BA-3/BA-4Cloos
671,643,M20V01737,FA-2,MASS01628,BA-3/BA-4Panas
672,971,M20V00843,FA-1,MASS01030,BA-5/BA-8EsSSPSSW
673,872,M20V01140,FA-2,MASS01226,P/BA-1/BA-4
674,1286,M20V00200,FA-1,MASS00444,BA-5
675,1150,M20V00900,FA-1,MASS01082,BA-1/BA-4CLOOS
676,653,M20V01306,FA-2,MASS01336,BA-1/BA-4ABB
677,977,M20V01994,FA-2,MASS01801,BA-4ZSt/BA-3
678,1111,M20V01491,FA-1,MASS00864,BA-7
679,894,M20V00991,FA-2,MASS01127,BA-1/BA-4ABB
680,1017,M20V00751,FA-2,MASS00965,BA-1/BA-4Z
681,601,M20V00715,FA-2,MASS00923,P/BA-2
682,1085,M20V00377,FA-1,MASS00649,BA-5
683,750,M20V01192,FA-3,MASS01257,BA-3/BA-4Z/BA-3/BA-4Cloos
684,638,M20V01236,FA-3,MASS01299,BA-3/BA-4Panas
685,1240,M20V00651,FA-2,MASS00890,BA-2
686,810,M20V00508,FA-1,MASS00777,BA-5
687,841,M20V01868,FA-1,MASS01729,BA-7/BA-8SSW/BA-4Z
688,1408,M20V01588,FA-3,MASS01520,P/BA-1/BA-4Z
689,1055,M20V00937,FA-1,MASS01105,BA-5
690,979,M20V00727,FA-3,MASS00950,P/BA-1/BA-4CLOOS
691,1083,M20V00968,FA-1,MASS01120,BA-5/BA-8Es
692,995,M20V01386,FA-2,MASS01395,P/BA-3
693,1339,M20V01698,FA-3,MASS01602,BA-2
694,3411,M20V00235,FA-1,MASS00509,BA-5/BA-8SSWx2
695,1060,M20V00062,FA-1,MASS00302,BA-5/BA-7
696,1078,M20V00208,FA-1,MASS00470,BA-5
697,1197,M20V01832,FA-2,MASS01701,BA-3/BA-4St
698,902,M20V01551,FA-1,MASS01500,BA-7
699,907,M20V00611,FA-1,MASS00859,BA-5
700,1050,M20V01925,FA-2,MASS01777,P/BA-3/BA-4St
701,836,M20V01573,FA-1,MASS01514,BA-7/BA-8SSP
702,638,M20V00653,FA-1,MASS00892,BA-5/BA-8SSP
703,1033,M20V01135,FA-1,MASS00860,BA-5
704,804,M20V00453,FA-1,MASS00723,BA-5
705,1267,M20V01533,FA-1,MASS01315,BA-7
706,1122,M20V01540,FA-1,MASS01489,BA-7
707,989,M20V00760,FA-2,MASS00971,BA-1/BA-4Z
708,935,M20V00381,FA-1,MASS00653,BA-5
709,918,M20V00725,FA-1,MASS00949,BA-5/BA-8SSW
710,586,M20V01258,FA-1,MASS01216,BA-5
711,15828,-,-,brak,brak
712,1334,M20V01079,FA-2,MASS01183,BA-2
713,1240,M20V00441,FA-1,MASS00711,BA-5/BA-8Es
714,1225,M20V01522,FA-2,MASS00253,BA-2
715,1209,M20V00011,FA-2,MASS00243,BA-2Z
716,1194,M20V01874,FA-2,MASS01736,P/BA-3
717,1191,M20V00480,FA-1,MASS00749,BA-5
718,1167,M20V01706,FA-2,MASS01606,P/BA-1
719,1150,M20V01855,FA-1,MASS01721,BA-5
720,1132,M20V00157,FA-1,MASS00228,BA-5/BA-7
721,1048,M20V00864,FA-1,MASS01002,BA-5
722,1046,M20V00685,FA-2,MASS00917,BA-2
723,1044,M20V01720,FA-1,MASS01619,BA-5
724,1040,M20V01182,FA-1,MASS01258,BA-5/BA-8EsSSP
725,1029,M20V01145,FA-1,MASS01228,BA-5
726,1027,M20V01209,FA-1,MASS01276,BA-5/BA-8EsSSP
727,1012,M20V00588,FA-1,MASS00838,BA-5/BA-8SSP
728,996,M20V01580,FA-1,MASS00714,BA-7
729,958,M20V00981,FA-1,MASS01133,BA-5
730,944,M20V01429,FA-2,MASS01426,BA-1/BA-4ABB
731,940,M20V00040,FA-2,MASS00267,BA-2
732,939,M20V01520,FA-1,MASS01479,BA-5
733,937,M20V00983,FA-1,MASS01135,BA-5
734,937,M20V01009,FA-1,MASS00869,BA-5
735,933,M20V01043,FA-1,MASS01168,BA-5
736,933,M20V01428,FA-2,MASS01425,BA-1/BA-4ABB
737,914,M20V01299,FA-1,MASS01103,BA-7
738,885,M20V01175,FA-2,MASS01118,P/BA-1/BA-4ABB
739,885,M20V00379,FA-1,MASS00651,BA-5/BA-8SSP
740,879,M20V01305,FA-2,MASS01336,BA-1/BA-4ABB
741,876,M20V01274,FA-1,MASS01330,BA-5
742,874,M20V01790,FA-3,MASS01673,P/BA-3/BA-4ZPanas
743,867,M20V01769,FA-3,MASS01638,P/BA-3
744,865,M20V00627,FA-1,MASS00764,BA-5
745,853,M20V01586,FA-1,MASS01523,BA-7
746,844,M20V01370,FA-1,MASS01132,BA-5/BA-8SSP
747,829,M20V01502,FA-1,MASS01469,BA-7
748,782,M20V00458,FA-1,MASS00728,BA-5
749,780,M20V00537,FA-1,MASS00797,BA-5
750,776,M20V00042,FA-2,MASS00269,BA-1/BA-4Z
751,756,M20V00494,FA-1,MASS00766,BA-5
752,747,M20V00450,FA-1,MASS00720,BA-5
753,742,M20V00686,FA-1,MASS00918,BA-2Z
754,736,M20V00417,FA-1,MASS00689,BA-5
755,735,M20V00481,FA-1,MASS00751,BA-5/BA-8Es
756,725,M20V01150,FA-2,MASS01232,P/BA-1/BA-4CLOOS
757,721,M20V00875,FA-1,MASS01284,BA-5
758,707,M20V00679,FA-1,MASS00912,BA-5/BA-8SSW
759,694,M20V01038,FA-2,MASS01085,BA-4St/P/BA-1
760,687,M20V01190,FA-1,MASS01263,BA-5
761,679,M20V01233,FA-1,MASS01296,BA-5
762,662,M20V01742,FA-3,MASS01632,P/BA-3/BA-4Z
763,656,M20V01696,FA-1,MASS00337,BA-5/BA-7
764,637,M20V00050,FA-2,MASS00283,BA-2Z
765,625,M20V00593,FA-1,MASS00819,BA-5
766,617,M20V01072,FA-1,MASS00772,BA-5
767,611,M20V00143,FA-1,MASS00391,BA-5
768,603,M20V01667,FA-1,MASS01491,BA-7/BA-8SSP
769,550,M20V00526,FA-1,MASS00534,BA-5/BA-8SSPSSW
770,547,M20V00003,FA-2,MASS00227,BA-2
771,544,M20V01117,FA-1,MASS01211,BA-5
772,544,M20V00141,FA-1,MASS00384,BA-5/BA-8EsSSW
773,712,M20V00043,FA-2,MASS00270,BA-1/BA-4Z
774,478,M20V01198,FA-1,MASS01268,BA-2
775,537,M20V01128,FA-1,MASS00424,BA-1/BA-8EsSSW
776,662,M20V01684,FA-2,MASS01584,P/BA-3
777,659,M20V01685,FA-2,MASS01585,P/BA-3
778,565,M20V00115,FA-2,MASS01194,BA-1/BA-8EsSSW/BA-4ABB
779,1184,M20V00643,FA-1,MASS00883,BA-5/BA-8SSP
780,607,M20V01510,FA-2,MASS01372,BA-2
781,1614,M20V01777,FA-3,MASS01664,P/BA-3
782,1122,M20V00157,FA-1,MASS00228,BA-5/BA-7
783,381,M20V00916,FA-1,MASS00888,BA-5/BA-8SSP
784,772,M20V01923,FA-2,MASS01771,BA-4/BA-3
785,734,M20V01394,FA-2,MASS01400,BA-2
786,698,M20V01922,FA-2,MASS01770,BA-4/BA-3
787,596,M20V00938,FA-2,MASS01024,BA-4St/P/BA-1
788,1356,M20V00030,FA-2,MASS00257,BA-2Z
789,1071,M20V00024,FA-2,MASS00254,BA-2Z
790,23727,M20V01387,FA-1,MASS00957,BA-5
791,911,M20V00900,FA-1,MASS01082,BA-1/BA-4CLOOS
792,824,M20V00554,FA-1,MASS00815,BA-5
793,823,M20V00488,FA-1,MASS00759,BA-5
794,413,M20V01692,FA-2,MASS01597,P/BA-2
795,963,M20V00010,FA-2,MASS00238,BA-1/BA-4Panas
796,924,M20V00006,FA-2,MASS00222,BA-2
797,924,M20V00005,FA-2,MASS00221,BA-2
798,718,M20V01298,FA-3,MASS01323,P/BA-3
799,899,M20V01714,FA-2,MASS01613,P/BA-2
800,768,M20V00914,FA-2,MASS01092,P/BA-1/BA-4ABB
801,687,M20V01611,FA-1,MASS01536,BA-7
802,902,M20V00542,FA-2,MASS00805,P/BA-1/BA-4Z
803,1604,M20V00002,FA-2,MASS00225,BA-2
804,874,M20V00638,FA-2,MASS00879,BA-1/BA-4ABB
805,622,M20V01559,FA-1,MASS01506,BA-7
806,611,M20V01676,FA-1,MASS01471,BA-5s
807,768,M20V00781,FA-2,MASS00977,BA-1/BA-4CLOOS
808,869,M20V01626,FA-1,MASS01551,BA-7/BA-8SSP
809,748,M20V00969,FA-1,MASS01121,BA-5
810,1239,M20V01393,FA-1,MASS01399,BA-5
811,1177,-,-,brak,brak
812,1073,M20V01042,FA-2,MASS01167,P/BA-1
813,939,M20V01367,FA-2,MASS01386,P/BA-1
814,900,M20V00468,FA-1,MASS00738,BA-5
815,890,M20V01788,FA-3,MASS01669,P/BA-3/BA-4ZPanas
816,885,M20V01379,FA-2,MASS01394,BA-3/BA-4
817,852,M20V00699,FA-1,MASS00928,BA-5/BA-8SSW
818,834,M20V00327,FA-2,MASS00522,P/BA-2/BA-4ABB
819,821,M20V01770,FA-3,MASS01639,P/BA-3
820,818,M20V01067,FA-1,MASS01060,BA-5
821,811,M20V00145,FA-1,MASS00393,BA-5/BA-8SSW
822,806,M20V00762,FA-1,MASS00901,BA-5/BA-8SSP
823,802,M20V01177,FA-1,MASS01255,BA-5
824,777,M20V01767,FA-2,MASS01654,P/BA-3/BA-4Z
825,741,M20V01749,FA-3,MASS01636,P/BA-3/BA-4Panas
826,738,M20V01232,FA-1,MASS01295,BA-5
827,734,M20V01158,FA-1,MASS01239,BA-2/BA-5/BA-8SSW
828,729,M20V00291,FA-2,MASS00541,BA-1/BA-4CLOOS
829,725,M20V01850,FA-1,MASS01716,BA-3/BA-4Z
830,710,M20V00364,FA-1,MASS00638,BA-5
831,710,M20V00048,FA-2,MASS00281,BA-1/BA-4
832,695,M20V01346,FA-3,MASS01370,P/BA-3/BA-4Z
833,689,M20V00534,FA-1,MASS00794,BA-5
834,675,M20V01673,FA-1,MASS01577,BA-7
835,674,M20V01371,FA-2,MASS01388,BA-1/BA-4Z
836,660,M20V00292,FA-2,MASS00542,BA-1/BA-4CLOOS
837,649,M20V00987,FA-1,MASS01138,BA-5/BA-8SSP
838,646,M20V01064,FA-1,MASS00759,BA-5
839,635,M20V00690,FA-1,MASS00922,BA-5/BA-8SSW
840,634,M20V00049,FA-2,MASS00282,BA-2Z
841,625,M20V00271,FA-2,MASS00494,BA-1/BA-4ABB
842,625,M20V01372,FA-2,MASS01389,BA-1/BA-4Z
843,622,M20V00826,FA-1,MASS01016,BA-5/BA-8SSW/BA-4Z
844,622,M20V00313,FA-2,MASS00522,P/BA-2/BA-4ABB
845,616,M20V00960,FA-1,MASS01117,BA-5/BA-8Es
846,610,M20V01204,FA-2,MASS01271,P/BA-3
847,605,M20V00406,FA-1,MASS00675,BA-5
848,589,M20V00575,FA-1,MASS00825,BA-5/BA-8Es
849,574,M20V00764,FA-1,MASS00837,BA-5/BA-8SSP
850,569,M20V01146,FA-1,MASS01225,BA-5
851,568,M20V01141,FA-1,MASS01138,BA-5/BA-8SSP
852,563,M20V00269,FA-2,MASS00543,P/BA-1/BA-4ABB
853,557,M20V01124,FA-1,MASS01216,BA-5
854,551,M20V01248,FA-2,MASS00282,BA-2Z
855,551,M20V00749,FA-1,MASS00964,BA-5/BA-8SSW
856,549,M20V01216,FA-1,MASS01282,BA-5
857,535,M20V00693,FA-1,MASS00924,BA-5/BA-8SSW
858,532,M20V01802,FA-3,MASS01641,BA-3
859,531,M20V00664,FA-2,MASS00900,P/BA-2
860,524,M20V01637,FA-2,MASS01556,P/BA-1/BA-4ZABB
861,522,M20V01426,FA-1,MASS01418,BA-7
862,522,M20V00350,FA-2,MASS00616,BA-1/BA-4ABB
863,518,M20V00735,FA-2,MASS00953,BA-1/BA-4Z
864,515,M20V01602,FA-1,MASS00818,BA-7
865,515,M20V01157,FA-1,MASS01229,BA-5/BA-8EsSSP
866,511,M20V00111,FA-1,MASS00360,BA-5/BA-8SSW
867,507,M20V00412,FA-1,MASS00682,BA-5/BA-8Es
868,501,M20V01369,FA-1,MASS00945,BA-5
869,496,M20V01636,FA-2,MASS01555,P/BA-1/BA-4ZABB
870,484,M20V00595,FA-1,MASS00844,BA-5/BA-8EsSSW
871,478,M20V01189,FA-1,MASS01262,BA-5
872,475,M20V01319,FA-2,MASS01348,BA-3Z
873,475,M20V00281,FA-2,MASS00541,BA-1/BA-4CLOOS
874,458,M20V01625,FA-1,MASS01550,BA-7
875,454,M20V01681,FA-2,MASS01582,P/BA-3
876,383,M20V01686,FA-1,MASS01491,BA-7/BA-8SSP
877,371,M20V02083,FA-1,MASS01026,BA-5/BA-8SSP
878,362,M20V00684,FA-2,MASS00916,P/BA-2
879,327,M20V01517,FA-1,MASS01250,BA-7
880,438,M20V00262,FA-2,MASS00539,BA-2
881,516,M20V00499,FA-1,MASS00771,BA-5
882,832,M20V01743,FA-3,MASS01633,P/BA-3/BA-4Z
883,921,M20V00443,FA-1,MASS00713,BA-5
884,464,M20V01245,FA-1,MASS01307,(BA-1/BA-5/BA-8)
885,546,M20V01604,FA-2,MASS01531,BA-3/BA-4Panas
886,555,M20V01569,FA-1,MASS01512,BA-7
887,833,M20V00536,FA-1,MASS00796,BA-5
888,802,M20V00153,FA-1,MASS00400,BA-5/BA-8SSP
889,921,M20V00880,FA-2,MASS01047,BA-4St/P/BA-1
890,786,M20V00882,FA-2,MASS01039,BA-4St/P/BA-1
891,465,M20V01682,FA-2,MASS01583,P/BA-3
892,900,M20V00753,FA-2,MASS00967,P/BA-2
893,592,M20V00622,FA-1,MASS00413,BA-5/BA-8SSP
894,1266,M20V01607,FA-1,MASS01532,BA-7
895,476,M20V00095,FA-1,MASS00346,BA-1/BA-5/BA-4cloos
896,584,M20V02100,FA-2,MASS01872,BA-2
897,510,M20V02212,FA-2,MASS01939,BA-3/BA-4
898,459,M20V01801,FA-2,MASS01677,P/BA-3Z/BA-4Z
899,416,M20V01800,FA-2,MASS01676,P/BA-3Z/BA-4Z
900,391,M20V02218,FA-3,MASS01942,BA-2
901,386,M20V01820,FA-2,MASS01692,P/BA-3Z/BA-4Z
902,350,M20V01792,FA-2,MASS01644,P/BA-1/BA-4
903,235,M20V01242,FA-3,MASS01304,BA-1/BA-4
904,554,M20V01322,FA-1,MASS01337,BA-5
905,202,M20V01222,FA-3,MASS01289,BA-3/BA-4Panas
906,610,M20V01281,FA-3,MASS01332,P/BA-3/BA-4Panas
907,439,M20V01745,FA-2,MASS01634,P/BA-3/BA-4ZCLOOS
908,743,M20V00024,FA-2,MASS00254,BA-2Z
909,798,M20V01279,FA-2,MASS01178,BA-2Z
910,332,M20V00713,FA-1,MASS00910,BA-5/BA-8SSP
911,447,M20V01144,FA-1,MASS01227,BA-2
912,729,M20V00023,FA-2,MASS00253,BA-2
913,740,M20V00005,FA-2,MASS00221,BA-2
914,727,M20V01218,FA-2,MASS01285,P/BA-3
915,536,M20V01098,FA-1,MASS01201,BA-5
916,2906,M20V00130,FA-1,MASS00383,BA-5
917,521,M20V01812,FA-1,MASS01686,BA-5
918,516,M20V00135,FA-1,MASS00321,BA-5
919,262,M20V00455,FA-1,MASS00725,BA-5
920,435,M20V01254,FA-1,MASS01312,BA-5/BA-8Es
921,423,M20V00919,FA-1,MASS01094,BA-5/BA-8SSPSSW/BA-4St
922,302,M20V01456,FA-1,MASS01447,BA-7
923,345,M20V01213,FA-2,MASS01279,P/BA-3
924,439,M20V01531,FA-1,MASS00882,BA-5/BA-8Es
925,453,M20V00658,FA-1,MASS00896,BA-5/BA-8SSP
926,392,M20V01815,FA-1,MASS01132,BA-5/BA-8SSP
927,375,M20V01615,FA-1,MASS01539,BA-7
928,394,M20V01546,FA-1,MASS01497,BA-7
929,492,M20V01445,FA-3,MASS01445,P/BA-1/BA-4ABB
930,510,M20V01172,FA-1,MASS01250,BA-7
931,502,M20V01596,FA-1,MASS01527,BA-7
932,654,M20V00654,FA-1,MASS00876,BA-7/BA-8SSP
933,482,M20V01340,FA-1,MASS01366,BA-5/BA-8SSW
934,584,M20V00107,FA-1,MASS00342,BA-5
935,353,M20V00759,FA-2,MASS00969,BA-2Z
936,639,M20V01101,FA-1,MASS00424,BA-1/BA-8EsSSW
937,561,M20V00413,FA-1,MASS00683,BA-5
938,537,M20V01275,FA-2,MASS01285,P/BA-3
