id,total,m20vref,m20v,massref,mass
1385,127,M20V01740,FA-1,MASS01631,BA-5
1386,126,M20V01174,FA-2,MASS01254,P/BA-3/BA-4St
1387,126,M20V01679,FA-1,MASS00763,BA-7
1388,124,M20V01687,FA-2,MASS01588,P/BA-2
1389,122,M20V00419,FA-2,MASS00690,BA-2Z
1390,122,M20V01444,FA-1,MASS01444,BA-5
1391,120,M20V00464,FA-1,MASS00734,BA-5
1392,118,M20V01885,FA-2,MASS01745,P/BA-1/BA-4
1393,116,M20V00641,FA-1,MASS00881,BA-5/BA-8SSP
1394,114,M20V00225,FA-2,MASS00489,BA-1/BA-4ABB
1395,113,M20V00835,FA-2,MASS01024,BA-4St/P/BA-1
1396,113,M20V00924,FA-2,MASS01096,BA-2
1397,113,M20V00799,FA-1,MASS00996,BA-5
1398,109,M20V00571,FA-1,MASS00823,BA-5
1399,108,M20V00123,FA-1,MASS00378,BA-5/BA-8SSP
1400,108,M20V00698,FA-2,MASS00616,BA-1/BA-4ABB
1401,108,M20V01610,FA-1,MASS01535,BA-7
1402,107,M20V01574,FA-1,MASS00869,BA-5
1403,106,M20V00323,FA-2,MASS00576,P/BA-2/BA-4ABB
1404,105,M20V00697,FA-2,MASS00615,BA-1/BA-4ABB
1405,104,M20V00410,FA-2,MASS00679,P/BA-2
1406,103,M20V01690,FA-2,MASS01591,P/BA-3Z
1407,102,M20V01691,FA-2,MASS01592,P/BA-3Z
1408,102,M20V01241,FA-1,MASS01303,BA-5
1409,102,M20V01585,FA-1,MASS00960,BA-7
1410,102,M20V00411,FA-2,MASS00681,P/BA-1/BA-4
1411,100,M20V00405,FA-2,MASS00674,BA-2/BA-4
1412,97,M20V00500,FA-2,MASS00652,P/BA-1/BA-4ABB
1413,94,M20V00457,FA-1,MASS00727,BA-5/BA-8Es
1414,92,M20V01603,FA-1,MASS00940,BA-5
1415,91,M20V01648,FA-1,MASS01547,BA-7
1416,90,M20V01672,FA-1,MASS01532,BA-7
1417,90,M20V01518,FA-1,MASS01478,BA-5
1418,89,M20V00834,FA-2,MASS01023,BA-1/BA-4CLOOS
1419,87,M20V01513,FA-1,MASS00477,BA-7
1420,87,M20V00921,FA-1,MASS00951,BA-5/BA-8SSW
1421,84,M20V01858,FA-2,MASS01724,BA-2
1422,83,M20V01272,FA-3,MASS01328,BA-2Z
1423,83,M20V00675,FA-1,MASS00909,BA-5
1424,82,M20V00448,FA-2,MASS00718,BA-1/BA-4ABB
1425,75,M20V00652,FA-1,MASS00891,BA-5/BA-8SSP
1426,70,M20V01138,FA-2,MASS01224,P/BA-3/BA-4St
1427,67,M20V00856,FA-2,MASS01040,P/BA-1/BA-4
1428,66,M20V01413,FA-2,MASS01410,P/BA-2
1429,62,M20V00816,FA-2,MASS01008,BA-4St/P/BA-1
1430,61,M20V00928,FA-1,MASS01100,BA-5/BA-8EsSSW
1431,57,M20V01137,FA-2,MASS01224,P/BA-3/BA-4St
1432,53,M20V01967,FA-2,MASS01793,BA-3/BA-4Panas
1433,51,M20V00616,FA-1,MASS00863,BA-5
1434,47,M20V01112,FA-1,MASS01209,BA-5
1435,39,M20V01934,FA-1,MASS01782,BA-7/BA-8SSP
1436,24,M20V00903,FA-2,MASS01086,P/BA-1/BA-4
1437,7,M20V00220,FA-1,MASS00482,BA-5
1438,6,M20V01138,FA-2,MASS01224,P/BA-3/BA-4St
1439,0,M20V00900,FA-1,MASS01082,BA-1/BA-4CLOOS
1440,0,M20V02016,FA-3,MASS01090,P/BA-1/BA-4CLOOS
1441,0,M20V01988,FA-3,MASS01218,BA-3/BA-4Panas
